classification,database,major,access_location
senior,DOE OpenNet,"2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts",off campus
faculty,Music Online:  Popular Music Library,"6403,UNITED STATES HISTORY,Humanities & Liberal Arts",on campus
sophomore,ERIC (EBSCO),"2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics",off campus
doctorate,Fiddle Tunes of the Old Frontier: The Henry Reed Collection,"3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts",on campus
junior,CINAHL Plus,"6007,STUDIO ARTS,Arts",on campus
doctorate,ABI/INFORM Global,"1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources",off campus
doctorate,United Nations Treaty Collection,"6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",on campus
freshman,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"5200,PSYCHOLOGY,Psychology & Social Work",off campus
junior,American Indian Movement And Native American Radicalism,"1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources",on campus
freshman,Naxos Music Library,"6207,FINANCE,Business",on campus
junior,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science",off campus
sophomore,Lippincott Health Library,"2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering",off campus
sophomore,Gale OneFile: Educator's Reference,"2499,MISCELLANEOUS ENGINEERING,Engineering",on campus
graduate,Apartheid South Africa,"2408,ELECTRICAL ENGINEERING,Engineering",off campus
freshman,University of Miami Electronic Theses and Dissertations,"2304,ELEMENTARY EDUCATION,Education",off campus
graduate,ABI/INFORM Global,"5503,CRIMINOLOGY,Social Science",off campus
graduate,Migration to New Worlds,"5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science",on campus
graduate,Sibley Music Library Music Scores,"1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources",on campus
graduate,ULI Development Case Studies,"5501,ECONOMICS,Social Science",off campus
doctorate,E-Codices: Virtual Manuscript Library of Switzerland,"6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts",off campus
doctorate,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts",on campus
sophomore,ERIC (Education Resources Information Center),"5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts",off campus
faculty,PsychiatryOnline,"5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy",on campus
senior,Scientific American Archive Online,"5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science",on campus
faculty,National Theatre Collection 1 and 2,"6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts",off campus
graduate,ARTFL Main Database of French Texts,"3611,NEUROSCIENCE,Biology & Life Science",on campus
sophomore,Fiddle Tunes of the Old Frontier: The Henry Reed Collection,"4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services",off campus
sophomore,Los Angeles Times,"3401,LIBERAL ARTS,Humanities & Liberal Arts",off campus
graduate,UlrichsWeb Global Serials Directory,"3608,PHYSIOLOGY,Biology & Life Science",off campus
doctorate,Latin American Network Information Center,"3201,COURT REPORTING,Law & Public Policy",on campus
sophomore,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","5402,PUBLIC POLICY,Law & Public Policy",on campus
junior,Healthcare Administration Database (ProQuest),"6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health",on campus
senior,Ethnographic Video Online,"6402,HISTORY,Humanities & Liberal Arts",on campus
doctorate,ABI/INFORM Dateline,"4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services",on campus
freshman,Migration to New Worlds,"5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services",on campus
senior,Virtual Music Rare Book Room,"6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",on campus
doctorate,Gale General OneFile,"2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering",off campus
graduate,Virtual Gramophone: Canadian Historical Sound Recordings,"3608,PHYSIOLOGY,Biology & Life Science",on campus
senior,ARTFL: French Women Writers Database,"5505,INTERNATIONAL RELATIONS,Social Science",on campus
junior,Gale eBooks,"5701,""ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION"",Industrial Arts & Consumer Services",off campus
junior,Sibley Music Library Music Scores,"2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts",on campus
graduate,PILOTS,"6201,ACCOUNTING,Business",off campus
graduate,European Views of the Americas: 1493 to 1750,"2404,BIOMEDICAL ENGINEERING,Engineering",on campus
faculty,Gale General OneFile,"2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering",on campus
faculty,American West,"5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences",on campus
freshman,Oxford Bibliographies Online: Philosophy,"6107,NURSING,Health",off campus
senior,ERIC (EBSCO),"5505,INTERNATIONAL RELATIONS,Social Science",on campus
senior,Ethnographic Video Online,"3701,APPLIED MATHEMATICS,Computers & Mathematics",off campus
senior,Gale eBooks,"2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering",on campus
doctorate,INFORMS PubsOnLine,"5005,GEOSCIENCES,Physical Sciences",off campus
graduate,National Science Foundation Awards Database,"1901,COMMUNICATIONS,Communications & Journalism",on campus
doctorate,Gale General OneFile,"2408,ELECTRICAL ENGINEERING,Engineering",off campus
doctorate,CIA World Factbook,"6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health",on campus
faculty,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science",off campus
graduate,Gale General OneFile,"3608,PHYSIOLOGY,Biology & Life Science",off campus
senior,ABI/INFORM Collection,"5200,PSYCHOLOGY,Psychology & Social Work",on campus
doctorate,ABI/INFORM Dateline,"2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics",on campus
sophomore,University of Miami Electronic Theses and Dissertations,"1901,COMMUNICATIONS,Communications & Journalism",on campus
graduate,E-Codices: Virtual Manuscript Library of Switzerland,"5200,PSYCHOLOGY,Psychology & Social Work",off campus
sophomore,Music Online:  Popular Music Library,"3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts",off campus
junior,ARTFL French Dictionaries,"3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts",off campus
junior,PsychiatryOnline,"3699,MISCELLANEOUS BIOLOGY,Biology & Life Science",on campus
freshman,ARTFL: Provencal Poetry Database,"5206,SOCIAL PSYCHOLOGY,Psychology & Social Work",off campus
sophomore,RIPM Retrospective Index to Music Periodicals with Online Archive,"2309,SECONDARY TEACHER EDUCATION,Education",on campus
sophomore,Music and Performing Arts from Alexander Street,"5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science",on campus
senior,Morningstar Investment Research Center,"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",on campus
freshman,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences",on campus
senior,Political Risk Yearbook,"2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics",on campus
graduate,Literature Criticism Online,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",off campus
doctorate,Apartheid South Africa,"4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts",on campus
freshman,General Reference Center Gold,"2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering",off campus
sophomore,EconPapers,"6402,HISTORY,Humanities & Liberal Arts",off campus
sophomore,IET Digital Library,"5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services",off campus
sophomore,IDEAS Internet Documents in Economics Access Service,"6402,HISTORY,Humanities & Liberal Arts",on campus
freshman,Morningstar Investment Research Center,"4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts",on campus
freshman,Naxos Music Library,"2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education",on campus
junior,RIPM Retrospective Index to Music Periodicals with Online Archive,"5006,OCEANOGRAPHY,Physical Sciences",off campus
faculty,Advanced Technologies &amp;amp; Aerospace (ProQuest),"2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering",on campus
freshman,SciFinder-n,"2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts",on campus
freshman,Healthcare Administration Database (ProQuest),"2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services",on campus
doctorate,Sheldon Harris Sheet Music Collection,"4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services",off campus
graduate,CIA World Factbook,"6403,UNITED STATES HISTORY,Humanities & Liberal Arts",off campus
doctorate,Apartheid South Africa,"2307,EARLY CHILDHOOD EDUCATION,Education",on campus
faculty,ABI/INFORM Collection,"2418,NUCLEAR ENGINEERING,Engineering",off campus
sophomore,UlrichsWeb Global Serials Directory,"5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences",off campus
sophomore,Humanities International Index,"2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education",off campus
faculty,ERIC (Education Resources Information Center),"1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts",on campus
senior,ULI Development Case Studies,"5500,GENERAL SOCIAL SCIENCES,Social Science",on campus
junior,Urban Institute,"5701,""ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION"",Industrial Arts & Consumer Services",off campus
senior,DOE OpenNet,"2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering",on campus
sophomore,Gale OneFile: Educator's Reference,"4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics",on campus
graduate,Virtual Music Rare Book Room,"3611,NEUROSCIENCE,Biology & Life Science",off campus
graduate,Trans-Atlantic Slave Trade Database,"2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts",on campus
doctorate,Literature Resource Center,"1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",on campus
freshman,Lippincott Health Library,"3700,MATHEMATICS,Computers & Mathematics",off campus
senior,Literature Criticism Online,"6109,TREATMENT THERAPY PROFESSIONS,Health",off campus
faculty,DRAM: Database of Recorded American Music,"1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources",on campus
senior,Urban Institute,"5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy",off campus
faculty,Gale OneFile: Environmental Studies,"5507,SOCIOLOGY,Social Science",on campus
junior,Florida Digital Newspaper Library,"2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education",on campus
sophomore,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",off campus
sophomore,Victorian Popular Culture,"6000,FINE ARTS,Arts",off campus
freshman,LandScan Global Population Database,"5102,""NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"",Physical Sciences",off campus
senior,Medieval Travel Writing,"6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health",off campus
faculty,E-Codices: Virtual Manuscript Library of Switzerland,"5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science",on campus
freshman,University of Washington Music Library Digital Scores Collection,"5202,CLINICAL PSYCHOLOGY,Psychology & Social Work",on campus
doctorate,Los Angeles Times,"2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering",on campus
sophomore,Business Insights: Global,"2500,ENGINEERING TECHNOLOGIES,Engineering",off campus
doctorate,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","5200,PSYCHOLOGY,Psychology & Social Work",on campus
faculty,DynaMed,"5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services",off campus
faculty,Gale General OneFile,"6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business",off campus
sophomore,SciFinder-n,"6100,GENERAL MEDICAL AND HEALTH SERVICES,Health",off campus
senior,Urban Institute,"2500,ENGINEERING TECHNOLOGIES,Engineering",off campus
faculty,Oxford Bibliographies Online: Philosophy,"5200,PSYCHOLOGY,Psychology & Social Work",on campus
senior,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering",off campus
graduate,CINAHL Plus,"2102,COMPUTER SCIENCE,Computers & Mathematics",on campus
freshman,E-Codices: Virtual Manuscript Library of Switzerland,"bbbb ,N/A (less than bachelor's degree),NA",off campus
senior,Pollution Abstracts,"5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science",off campus
senior,Medieval Travel Writing,"2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering",on campus
junior,Agricultural &amp;amp; Environmental Science,"5507,SOCIOLOGY,Social Science",off campus
faculty,Frances G. Spencer Collection of American Sheet Music,"6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts",on campus
senior,National Theatre Collection 1 and 2,"3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts",on campus
faculty,"Sousa, John Philip: The March King: John Philip Sousa","6000,FINE ARTS,Arts",on campus
junior,SciFinder-n,"6099,MISCELLANEOUS FINE ARTS,Arts",off campus
graduate,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","2416,MINING AND MINERAL ENGINEERING,Engineering",on campus
faculty,title,"2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering",on campus
freshman,E-Codices: Virtual Manuscript Library of Switzerland,"6109,TREATMENT THERAPY PROFESSIONS,Health",on campus
freshman,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"3607,PHARMACOLOGY,Biology & Life Science",off campus
freshman,Humanities International Index,"6099,MISCELLANEOUS FINE ARTS,Arts",off campus
senior,IEEE Xplore Digital Library,"2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering",on campus
junior,SCOPUS,"5102,""NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"",Physical Sciences",on campus
junior,Play Index (H.W. Wilson),"2414,MECHANICAL ENGINEERING,Engineering",on campus
junior,Urban Institute,"5000,PHYSICAL SCIENCES,Physical Sciences",off campus
senior,United Nations Treaty Collection,"5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services",off campus
doctorate,Music Online:  Listening,"2416,MINING AND MINERAL ENGINEERING,Engineering",off campus
freshman,Healthcare Administration Database (ProQuest),"6007,STUDIO ARTS,Arts",off campus
senior,Dance Online:  Dance in Video,"1401,ARCHITECTURE,Engineering",on campus
senior,ARTFL: Provencal Poetry Database,"2313,LANGUAGE AND DRAMA EDUCATION,Education",on campus
senior,Ethnographic Video Online,"5503,CRIMINOLOGY,Social Science",on campus
freshman,Music and Performing Arts from Alexander Street,"5504,GEOGRAPHY,Social Science",off campus
doctorate,ABI/INFORM Collection,"2309,SECONDARY TEACHER EDUCATION,Education",off campus
doctorate,Business Insights: Global,"2407,COMPUTER ENGINEERING,Engineering",on campus
graduate,SEPM (Society for Sedimentary Geology) Publications,"1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",off campus
doctorate,Scientific American Archive Online,"6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business",off campus
sophomore,Business Insights: Global,"5505,INTERNATIONAL RELATIONS,Social Science",off campus
graduate,title,"6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health",off campus
senior,University of Miami Electronic Theses and Dissertations,"6202,ACTUARIAL SCIENCE,Business",off campus
faculty,CultureGrams,"4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science",on campus
graduate,AAPG Datapages,"3201,COURT REPORTING,Law & Public Policy",on campus
freshman,ARTFL: French Women Writers Database,"1302,FORESTRY,Agriculture & Natural Resources",on campus
doctorate,"Caribbean Newspapers, 1718-1876","4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts",on campus
senior,ABI/INFORM Dateline,"1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources",off campus
doctorate,Frances G. Spencer Collection of American Sheet Music,"6205,BUSINESS ECONOMICS,Business",off campus
freshman,PILOTS,"2407,COMPUTER ENGINEERING,Engineering",on campus
faculty,"Caribbean Newspapers, 1718-1876","2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering",on campus
graduate,PsychiatryOnline,"2102,COMPUTER SCIENCE,Computers & Mathematics",on campus
graduate,Scientific American Archive Online,"2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services",off campus
graduate,Naxos Music Library,"6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health",on campus
sophomore,ERIC (EBSCO),"2402,BIOLOGICAL ENGINEERING,Engineering",on campus
senior,LandScan Global Population Database,"6099,MISCELLANEOUS FINE ARTS,Arts",on campus
sophomore,Ambrose Video,"3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy",off campus
junior,Frances G. Spencer Collection of American Sheet Music,"2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics",off campus
sophomore,IET Digital Library,"5005,GEOSCIENCES,Physical Sciences",off campus
graduate,Agricultural &amp;amp; Environmental Science,"1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",off campus
sophomore,PILOTS,"3609,ZOOLOGY,Biology & Life Science",on campus
faculty,AAPG Datapages,"4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts",on campus
sophomore,American Indian Histories and Cultures ,"2310,SPECIAL NEEDS EDUCATION,Education",off campus
freshman,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","6100,GENERAL MEDICAL AND HEALTH SERVICES,Health",off campus
junior,Virtual Music Rare Book Room,"4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts",on campus
senior,IET Digital Library,"5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",off campus
senior,American Indian Histories and Cultures ,"6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health",on campus
sophomore,SCOPUS,"2418,NUCLEAR ENGINEERING,Engineering",off campus
junior,Florida Digital Newspaper Library,"3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts",off campus
graduate,CIA World Factbook,"3600,BIOLOGY,Biology & Life Science",off campus
senior,DynaMed,"6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts",on campus
doctorate,Christian Science Monitor,"2310,SPECIAL NEEDS EDUCATION,Education",off campus
doctorate,IDEAS Internet Documents in Economics Access Service,"1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources",off campus
doctorate,CINAHL Plus,"4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics",off campus
sophomore,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education",on campus
junior,Urban Institute,"2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts",on campus
junior,Virtual Music Rare Book Room,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",on campus
doctorate,CultureGrams,"5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work",off campus
faculty,Literature Resource Center,"5404,SOCIAL WORK,Psychology & Social Work",on campus
junior,Agricultural &amp;amp; Environmental Science,"2406,CIVIL ENGINEERING,Engineering",on campus
junior,ERIC (ProQuest),"1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources",on campus
senior,ARL Annual Salary Survey,"5005,GEOSCIENCES,Physical Sciences",off campus
sophomore,Naxos Music Library Jazz,"2307,EARLY CHILDHOOD EDUCATION,Education",off campus
freshman,"Early American Imprints, Series I: Evans, 1639-1800","4000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary",on campus
faculty,PsychiatryOnline,"1103,ANIMAL SCIENCES,Agriculture & Natural Resources",on campus
faculty,"Nixon Years, 1969-1974","5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences",on campus
junior,E-Codices: Virtual Manuscript Library of Switzerland,"3700,MATHEMATICS,Computers & Mathematics",off campus
senior,AAPG Datapages,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",on campus
graduate,Florida Digital Newspaper Library,"2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering",on campus
doctorate,Sibley Music Library Music Scores,"2405,CHEMICAL ENGINEERING,Engineering",off campus
freshman,American Indian Movement And Native American Radicalism,"5102,""NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"",Physical Sciences",off campus
faculty,"Nixon Years, 1969-1974","2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics",off campus
freshman,Urban Institute,"3201,COURT REPORTING,Law & Public Policy",on campus
faculty,Virtual Gramophone: Canadian Historical Sound Recordings,"2405,CHEMICAL ENGINEERING,Engineering",on campus
graduate,"Early American Imprints, Series I: Evans, 1639-1800","2303,SCHOOL STUDENT COUNSELING,Education",on campus
freshman,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health",on campus
sophomore,Apartheid South Africa,"bbbb ,N/A (less than bachelor's degree),NA",off campus
doctorate,Virtual Gramophone: Canadian Historical Sound Recordings,"2303,SCHOOL STUDENT COUNSELING,Education",on campus
doctorate,Literature Resource Center,"bbbb ,N/A (less than bachelor's degree),NA",on campus
freshman,Scientific American Archive Online,"2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics",off campus
faculty,IET Digital Library,"6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts",off campus
senior,Political Risk Yearbook,"2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering",on campus
sophomore,Literature Resource Center,"2500,ENGINEERING TECHNOLOGIES,Engineering",off campus
doctorate,Sheldon Harris Sheet Music Collection,"2416,MINING AND MINERAL ENGINEERING,Engineering",off campus
faculty,Virtual Music Rare Book Room,"6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business",off campus
graduate,Latin American Network Information Center,"2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering",on campus
doctorate,SEPM (Society for Sedimentary Geology) Publications,"2407,COMPUTER ENGINEERING,Engineering",on campus
doctorate,General Reference Center Gold,"2304,ELEMENTARY EDUCATION,Education",on campus
junior,Gale General OneFile,"1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",on campus
sophomore,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"6007,STUDIO ARTS,Arts",on campus
senior,"Early American Imprints, Series I: Evans, 1639-1800","5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work",off campus
freshman,ULI Development Case Studies,"2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering",off campus
graduate,Gale eBooks,"6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health",on campus
doctorate,Play Index (H.W. Wilson),"5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy",on campus
faculty,AAPG Datapages,"4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics",on campus
graduate,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering",on campus
junior,CINAHL Plus,"5402,PUBLIC POLICY,Law & Public Policy",off campus
sophomore,Virtual Gramophone: Canadian Historical Sound Recordings,"2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering",on campus
faculty,SEPM (Society for Sedimentary Geology) Publications,"2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education",on campus
graduate,"Sousa, John Philip: The March King: John Philip Sousa","6205,BUSINESS ECONOMICS,Business",on campus
senior,Gale OneFile: Educator's Reference,"2414,MECHANICAL ENGINEERING,Engineering",off campus
junior,Scientific American Archive Online,"2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education",off campus
doctorate,Humanities International Index,"2300,GENERAL EDUCATION,Education",on campus
doctorate,IEEE Xplore Digital Library,"2400,GENERAL ENGINEERING,Engineering",on campus
doctorate,ULI Development Case Studies,"2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts",off campus
graduate,Literature Resource Center,"4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services",on campus
graduate,Sheldon Harris Sheet Music Collection,"6403,UNITED STATES HISTORY,Humanities & Liberal Arts",on campus
graduate,Apartheid South Africa,"2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics",on campus
faculty,RIPM Retrospective Index to Music Periodicals with Online Archive,"3600,BIOLOGY,Biology & Life Science",off campus
junior,Gale eBooks,"6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health",off campus
faculty,ARTFL: Provencal Poetry Database,"5505,INTERNATIONAL RELATIONS,Social Science",on campus
graduate,LandScan Global Population Database,"2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics",off campus
freshman,"Early American Imprints, Series I: Evans, 1639-1800","2410,ENVIRONMENTAL ENGINEERING,Engineering",off campus
sophomore,National Theatre Collection 1 and 2,"2310,SPECIAL NEEDS EDUCATION,Education",off campus
faculty,ARTFL French Dictionaries,"5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work",on campus
sophomore,PILOTS,"6002,MUSIC,Arts",on campus
faculty,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services",off campus
graduate,Literature Criticism Online,"4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts",on campus
faculty,Oxford Bibliographies Online: Philosophy,"2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering",on campus
freshman,CINAHL Plus,"2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering",on campus
faculty,"Caribbean Newspapers, 1718-1876","6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",off campus
senior,Lippincott Health Library,"6202,ACTUARIAL SCIENCE,Business",off campus
junior,title,"2102,COMPUTER SCIENCE,Computers & Mathematics",off campus
junior,ABI/INFORM Dateline,"2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",on campus
freshman,European Views of the Americas: 1493 to 1750,"1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",off campus
doctorate,IDEAS Internet Documents in Economics Access Service,"5500,GENERAL SOCIAL SCIENCES,Social Science",off campus
senior,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"2102,COMPUTER SCIENCE,Computers & Mathematics",off campus
freshman,European Views of the Americas: 1493 to 1750,"2500,ENGINEERING TECHNOLOGIES,Engineering",off campus
doctorate,Ambrose Video,"5507,SOCIOLOGY,Social Science",off campus
sophomore,Business Insights: Global,"6402,HISTORY,Humanities & Liberal Arts",on campus
doctorate,Ambrose Video,"1301,ENVIRONMENTAL SCIENCE,Biology & Life Science",off campus
